milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics
12967253,0.00136074,-0.149904,-0.598133,0,0,0,180.598,0,0,0,
12967293,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12967333,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12967373,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12967413,0.00136074,-0.149904,-0.598133,-1.21356,-1.00366,0.388967,2,0,0,0,
12967453,0.00136074,-0.149904,-0.598133,-3.51852,-11.6887,5.15702,2,0,0,0,
12967492,0.00136074,-0.149904,-0.598133,-2.06342,-18.7537,10.2855,2,0,0,0,
12967532,0.00136074,-0.149904,-0.598133,0.218886,-15.0098,11.3676,2,0,0,0,
12967573,0.00136074,-0.149904,-0.598133,2.40622,-5.484,6.63908,2,0,0,0,
12967613,0.00136074,-0.149904,-0.598133,0.800354,-0.142176,0.317531,2,0,0,0,
12967653,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12967693,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12967732,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12967772,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12967812,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12967852,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12967893,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12967933,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12967973,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968013,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968053,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968093,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968133,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968173,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968213,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968253,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968293,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968333,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968373,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968413,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968452,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968493,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968533,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968574,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968613,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968653,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968692,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968733,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968773,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968813,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968853,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968894,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968934,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12968974,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969012,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969053,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969092,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969133,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969173,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969213,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969253,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969293,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969332,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969373,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969412,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969453,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969493,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969533,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969573,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969612,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969652,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969692,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969732,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969773,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969813,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969853,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969893,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969932,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12969972,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12970012,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12970053,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12970093,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
