milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics,scene
279609207,0,0,0,7109,3793.68,-7847.85,7.4,0,0,0,0,
279609227,-1.49704,-0.88,1.48283,985.641,526.9,-1080.01,1,0,0,0,0,
279609249,-1.49704,-0.88,1.48283,1182.77,632.28,-1296.01,1.2,0,0,0,0,
279609289,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279609330,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279609370,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279609409,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279609470,-1.49704,-0.88,1.48283,2956.92,1580.7,-3240.02,3,0,0,0,0,
279609489,-1.49704,-0.88,1.48283,985.641,526.9,-1080.01,1,0,0,0,0,
279609539,-1.49704,-0.88,1.48283,2365.54,1264.56,-2592.02,2.4,0,0,0,0,
279609569,-1.49704,-0.88,1.48283,1577.03,843.04,-1728.01,1.6,0,0,0,0,
279609609,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279609650,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279609690,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279609729,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279609769,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279609809,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279609849,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279609889,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279609929,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279609970,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610009,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610049,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610089,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610129,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610169,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610209,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610250,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610290,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610329,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610369,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610409,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610449,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610489,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610529,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610570,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610610,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610649,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610689,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610729,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610769,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610809,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610849,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610890,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610930,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279610969,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611009,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611049,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611089,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611129,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611169,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611210,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611250,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611289,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611329,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611369,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611409,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611449,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611489,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611530,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611570,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611609,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611649,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611689,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611729,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611769,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611809,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611850,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611890,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611929,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279611969,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279612009,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279612049,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279612089,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279612130,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279612170,-1.49704,-0.88,1.48283,1971.28,1053.8,-2160.01,2,0,0,0,0,
279612209,-1.20375,-0.88,-0.217462,1455.1,1053.8,-432.003,2,0,0,0,0,
