milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics,scene
2224219,0,0,0,0,0,0,6.4,0,0,0,0,
2224234,-0.00248523,-0.0307224,-0.0113146,0,0,0,0.8,0,0,0,0,
2224260,-0.00279779,-0.0314767,-0.0119148,0,0,0,1.4,0,0,0,0,
2224300,-0.00303394,-0.0310741,-0.0121289,0,0,0,2,0,0,0,0,
2224340,-0.00320275,-0.0307864,-0.0122977,0,0,0,2,0,0,0,0,
2224380,-0.00338262,-0.0304417,-0.0124777,0,0,0,2,0,0,0,0,
2224420,-0.00341649,-0.0303077,-0.0125563,0,0,0,2,0,0,0,0,
2224460,-0.00346146,-0.0302311,-0.0126013,0,0,0,2,0,0,0,0,
2224505,-0.00352892,-0.0301161,-0.0126688,0,0,0,2.2,0,0,0,0,
2224540,-0.00355138,-0.0300778,-0.0126912,0,0,0,1.8,0,0,0,0,
2224580,-0.00355138,-0.0300778,-0.0126912,0,0,0,2,0,0,0,0,
2224620,-0.00356265,-0.0300586,-0.0127025,0,0,0,2,0,0,0,0,
2224660,-0.00355149,-0.0300396,-0.0127137,0,0,0,2,0,0,0,0,
2224700,-0.00359644,-0.0299629,-0.0127586,0,0,0,2,0,0,0,0,
2224740,-0.00361889,-0.0299247,-0.0127811,0,0,0,2,0,0,0,0,
2224780,-0.00366384,-0.0298481,-0.012826,0,0,0,2,0,0,0,0,
2224820,-0.00367512,-0.0297906,-0.0128597,0,0,0,2,0,0,0,0,
2224860,-0.00367512,-0.0297906,-0.0128597,0,0,0,2,0,0,0,0,
2224900,-0.00367512,-0.0297906,-0.0128597,0,0,0,2,0,0,0,0,
2224940,-0.00367512,-0.0297906,-0.0128597,0,0,0,2,0,0,0,0,
2224980,-0.00367512,-0.0297906,-0.0128597,0,0,0,2,0,0,0,0,
2225021,-0.00367512,-0.0297906,-0.0128597,0,0,0,2,0,0,0,0,
2225060,-0.00367512,-0.0297906,-0.0128597,0,0,0,2,0,0,0,0,
2225100,-0.00367512,-0.0297906,-0.0128597,0,0,0,2,0,0,0,0,
2225140,-0.00367512,-0.0297906,-0.0128597,0,0,0,2,0,0,0,0,
2225180,-0.00367512,-0.0297906,-0.0128597,0,0,0,2,0,0,0,0,
2225220,-0.00367512,-0.0297906,-0.0128597,0,0,0,2,0,0,0,0,
